Datum;Kalenderwoche;Filiale;Lieferroute;Verzoegerung_Min;Umsatzverlust_EUR
2024-01-01;KW01;Filiale_01;Route_A;17;45,47
2024-01-01;KW01;Filiale_02;Route_A;11;17,64
2024-01-01;KW01;Filiale_03;Route_A;12;30,52
2024-01-01;KW01;Filiale_04;Route_B;42;178,41
2024-01-01;KW01;Filiale_05;Route_B;35;168,36
2024-01-01;KW01;Filiale_06;Route_B;31;135,31
2024-01-01;KW01;Filiale_07;Route_C;20;40,56
2024-01-01;KW01;Filiale_08;Route_C;18;69,12
2024-01-01;KW01;Filiale_09;Route_C;19;67,72
2024-01-01;KW01;Filiale_10;Route_C;7;8,88
2024-01-02;KW01;Filiale_01;Route_A;9;17,88
2024-01-02;KW01;Filiale_02;Route_A;-2;0,0
2024-01-02;KW01;Filiale_03;Route_A;1;0,0
2024-01-02;KW01;Filiale_04;Route_B;32;214,61
2024-01-02;KW01;Filiale_05;Route_B;12;28,68
2024-01-02;KW01;Filiale_06;Route_B;22;115,85
2024-01-02;KW01;Filiale_07;Route_C;7;8,07
2024-01-02;KW01;Filiale_08;Route_C;9;17,06
2024-01-02;KW01;Filiale_09;Route_C;8;13,92
2024-01-02;KW01;Filiale_10;Route_C;6;3,65
2024-01-03;KW01;Filiale_01;Route_A;-5;0,0
2024-01-03;KW01;Filiale_02;Route_A;-3;0,0
2024-01-03;KW01;Filiale_03;Route_A;1;0,0
2024-01-03;KW01;Filiale_04;Route_B;27;151,9
2024-01-03;KW01;Filiale_05;Route_B;21;87,77
2024-01-03;KW01;Filiale_06;Route_B;35;161,93
2024-01-03;KW01;Filiale_07;Route_C;20;45,63
2024-01-03;KW01;Filiale_08;Route_C;3;0,0
2024-01-03;KW01;Filiale_09;Route_C;11;23,42
2024-01-03;KW01;Filiale_10;Route_C;13;41,82
2024-01-04;KW01;Filiale_01;Route_A;-6;0,0
2024-01-04;KW01;Filiale_02;Route_A;15;27,97
2024-01-04;KW01;Filiale_03;Route_A;-2;0,0
2024-01-04;KW01;Filiale_04;Route_B;36;189,88
2024-01-04;KW01;Filiale_05;Route_B;21;67,01
2024-01-04;KW01;Filiale_06;Route_B;35;220,75
2024-01-04;KW01;Filiale_07;Route_C;2;0,0
2024-01-04;KW01;Filiale_08;Route_C;12;35,67
2024-01-04;KW01;Filiale_09;Route_C;4;0,0
2024-01-04;KW01;Filiale_10;Route_C;12;36,72
2024-01-05;KW01;Filiale_01;Route_A;-3;0,0
2024-01-05;KW01;Filiale_02;Route_A;5;0,0
2024-01-05;KW01;Filiale_03;Route_A;11;30,08
2024-01-05;KW01;Filiale_04;Route_B;22;147,35
2024-01-05;KW01;Filiale_05;Route_B;14;35,13
2024-01-05;KW01;Filiale_06;Route_B;15;78,78
2024-01-05;KW01;Filiale_07;Route_C;13;29,25
2024-01-05;KW01;Filiale_08;Route_C;11;25,64
2024-01-05;KW01;Filiale_09;Route_C;3;0,0
2024-01-05;KW01;Filiale_10;Route_C;-3;0,0
2024-01-06;KW01;Filiale_01;Route_A;3;0,0
2024-01-06;KW01;Filiale_02;Route_A;0;0,0
2024-01-06;KW01;Filiale_03;Route_A;-3;0,0
2024-01-06;KW01;Filiale_04;Route_B;19;61,21
2024-01-06;KW01;Filiale_05;Route_B;22;47,83
2024-01-06;KW01;Filiale_06;Route_B;26;91,3
2024-01-06;KW01;Filiale_07;Route_C;7;5,47
2024-01-06;KW01;Filiale_08;Route_C;19;30,8
2024-01-06;KW01;Filiale_09;Route_C;-1;0,0
2024-01-06;KW01;Filiale_10;Route_C;18;38,01
2024-01-07;KW01;Filiale_01;Route_A;9;9,2
2024-01-07;KW01;Filiale_02;Route_A;-8;0,0
2024-01-07;KW01;Filiale_03;Route_A;-4;0,0
2024-01-07;KW01;Filiale_04;Route_B;22;66,83
2024-01-07;KW01;Filiale_05;Route_B;39;76,94
2024-01-07;KW01;Filiale_06;Route_B;19;59,28
2024-01-07;KW01;Filiale_07;Route_C;6;1,82
2024-01-07;KW01;Filiale_08;Route_C;23;64,78
2024-01-07;KW01;Filiale_09;Route_C;11;18,0
2024-01-07;KW01;Filiale_10;Route_C;6;3,64
2024-01-08;KW02;Filiale_01;Route_A;14;54,2
2024-01-08;KW02;Filiale_02;Route_A;3;0,0
2024-01-08;KW02;Filiale_03;Route_A;11;36,57
2024-01-08;KW02;Filiale_04;Route_B;16;60,78
2024-01-08;KW02;Filiale_05;Route_B;44;133,72
2024-01-08;KW02;Filiale_06;Route_B;26;168,1
2024-01-08;KW02;Filiale_07;Route_C;6;3,61
2024-01-08;KW02;Filiale_08;Route_C;13;38,53
2024-01-08;KW02;Filiale_09;Route_C;10;24,89
2024-01-08;KW02;Filiale_10;Route_C;16;70,76
2024-01-09;KW02;Filiale_01;Route_A;2;0,0
2024-01-09;KW02;Filiale_02;Route_A;7;6,6
2024-01-09;KW02;Filiale_03;Route_A;0;0,0
2024-01-09;KW02;Filiale_04;Route_B;37;178,04
2024-01-09;KW02;Filiale_05;Route_B;18;44,95
2024-01-09;KW02;Filiale_06;Route_B;21;119,2
2024-01-09;KW02;Filiale_07;Route_C;7;8,64
2024-01-09;KW02;Filiale_08;Route_C;6;5,06
2024-01-09;KW02;Filiale_09;Route_C;16;46,61
2024-01-09;KW02;Filiale_10;Route_C;1;0,0
2024-01-10;KW02;Filiale_01;Route_A;-3;0,0
2024-01-10;KW02;Filiale_02;Route_A;-8;0,0
2024-01-10;KW02;Filiale_03;Route_A;9;24,47
2024-01-10;KW02;Filiale_04;Route_B;47;292,48
2024-01-10;KW02;Filiale_05;Route_B;22;83,22
2024-01-10;KW02;Filiale_06;Route_B;36;153,41
2024-01-10;KW02;Filiale_07;Route_C;16;37,75
2024-01-10;KW02;Filiale_08;Route_C;-1;0,0
2024-01-10;KW02;Filiale_09;Route_C;3;0,0
2024-01-10;KW02;Filiale_10;Route_C;-2;0,0
2024-01-11;KW02;Filiale_01;Route_A;-5;0,0
2024-01-11;KW02;Filiale_02;Route_A;0;0,0
2024-01-11;KW02;Filiale_03;Route_A;-1;0,0
2024-01-11;KW02;Filiale_04;Route_B;45;306,9
2024-01-11;KW02;Filiale_05;Route_B;16;52,74
2024-01-11;KW02;Filiale_06;Route_B;16;48,31
2024-01-11;KW02;Filiale_07;Route_C;11;17,55
2024-01-11;KW02;Filiale_08;Route_C;3;0,0
2024-01-11;KW02;Filiale_09;Route_C;4;0,0
2024-01-11;KW02;Filiale_10;Route_C;3;0,0
2024-01-12;KW02;Filiale_01;Route_A;-3;0,0
2024-01-12;KW02;Filiale_02;Route_A;5;0,0
2024-01-12;KW02;Filiale_03;Route_A;1;0,0
2024-01-12;KW02;Filiale_04;Route_B;29;175,95
2024-01-12;KW02;Filiale_05;Route_B;8;12,32
2024-01-12;KW02;Filiale_06;Route_B;27;152,83
2024-01-12;KW02;Filiale_07;Route_C;7;5,94
2024-01-12;KW02;Filiale_08;Route_C;7;10,77
2024-01-12;KW02;Filiale_09;Route_C;3;0,0
2024-01-12;KW02;Filiale_10;Route_C;8;16,22
2024-01-13;KW02;Filiale_01;Route_A;-8;0,0
2024-01-13;KW02;Filiale_02;Route_A;-1;0,0
2024-01-13;KW02;Filiale_03;Route_A;-5;0,0
2024-01-13;KW02;Filiale_04;Route_B;17;51,82
